2degrees,2
2degrees Mobile,2
A1 Telekom Austria,3
AT&T Internet Services,1
AT&T Wireless,1
Activ8me,1
Adamo,1
Advatel Wireless,1
Antel Uruguay,6
Aussie Broadband,5
Australian Academic and Research Network,1
Australian Catholic University Limited,1
Bell DSL Internet,1
Binary Networks,1
Briz,1
China Telecom,3
China Unicom,5
Comcast Cable,1
Curtin University,1
Cynergic Internet,1
Dodo,3
Entel Chile,1
Exetel,3
Flash Fibres,1
Foxtel,1
Globe Telecom,1
Golan Telecom,1
LIWEST Kabelmedien GmbH,1
Lightwire Limited,1
M1,1
Magenta Telekom,3
Occom Pty,1
Optus,16
Orange,4
Orcon,2
Rogers Cable,1
SFR,1
SkyMesh,2
Spark New Zealand,7
Spectrum Business,1
Superloop,3
TPG Internet,16
Telefonica de Espana Static IP,1
Telenor Sverige AB,1
Telstra Internet,53
Telus Communications,1
The University of Auckland,1
TrustPower,2
UniFone New Zealand,1
University of Colorado at Boulder,1
University of Wisconsin System,1
Vocus Communications,1
Vocus Connect International Backbone,1
Vocus New Zealand,2
Vodafone,1
Vodafone Australia,1
Vodafone Greece,1
Vodafone New Zealand,6
Voyager Internet,1
Wifirst,1
iPrimus,1
iiNet Limited,11
kabelplus,1
