ISP,UniqueIP,DirtyUsers %,Fraud>50 %
2degrees,2,50,50
2degrees Mobile,2,0,0
A1 Telekom Austria,3,0,0
AT&T Internet Services,1,0,0
AT&T Wireless,1,0,0
Activ8me,1,0,0
Adamo,1,0,0
Advatel Wireless,1,0,0
Antel Uruguay,6,0,0
Aussie Broadband,5,60,60
Australian Academic and Research Network,1,0,0
Australian Catholic University Limited,1,0,0
Bell DSL Internet,1,0,0
Binary Networks,1,100,100
Briz,1,0,0
China Telecom,3,0,0
China Unicom,5,0,0
Comcast Cable,1,0,0
Curtin University,1,0,0
Cynergic Internet,1,100,100
Dodo,3,0,0
Entel Chile,1,0,0
Exetel,3,100,100
Flash Fibres,1,100,100
Foxtel,1,0,0
Globe Telecom,1,0,0
Golan Telecom,1,0,0
LIWEST Kabelmedien GmbH,1,0,0
Lightwire Limited,1,100,100
M1,1,0,0
Magenta Telekom,3,0,0
Occom Pty,1,0,0
Optus,16,0,0
Orange,4,25,25
Orcon,2,0,0
Rogers Cable,1,0,0
SFR,1,0,0
SkyMesh,2,0,0
Spark New Zealand,7,42,42
Spectrum Business,1,100,100
Superloop,3,0,0
TPG Internet,16,6,6
Telefonica de Espana Static IP,1,100,100
Telenor Sverige AB,1,0,0
Telstra Internet,53,1,1
Telus Communications,1,100,100
The University of Auckland,1,0,0
TrustPower,2,0,0
UniFone New Zealand,1,0,0
University of Colorado at Boulder,1,0,0
University of Wisconsin System,1,0,0
Vocus Communications,1,100,100
Vocus Connect International Backbone,1,100,100
Vocus New Zealand,2,0,0
Vodafone,1,0,0
Vodafone Australia,1,0,0
Vodafone Greece,1,0,0
Vodafone New Zealand,6,0,0
Voyager Internet,1,100,100
Wifirst,1,100,100
iPrimus,1,0,0
iiNet Limited,11,0,0
kabelplus,1,0,0
